Model,Accuracy,F1 Score
XG Boost Classifier,0.975,0.9748518762343646
Decision Tree Classifier,0.9583333333333334,0.9578877498340586
Random Forest Classifier,0.9583333333333334,0.9578877498340586
SVM,0.9166666666666666,0.9169301523426273
Logistic Regression,0.8916666666666667,0.8914700544464611
KNN,0.7,0.7027149321266968
